company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
C2FO,20.0,2.0,2022-12-09,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
VideoAmp,1505.0,2.0,2022-09-19,Advertising platforms,Los Angeles,Company memo,Private,,1970-01-01 00:00:00.000002022,1970-01
Amperity,13.0,3.0,2022-08-20,"Saas, analytics",Seattle,Geekwire,Private,,1970-01-01 00:00:00.000002022,1970-01
Addepar,20.0,3.0,2023-01-18,"fintech, data analytics","Mountain View, CA",Fortune,Private,,1970-01-01 00:00:00.000002023,1970-01
Thirty Madison,24.0,3.0,2022-05-13,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees.",1970-01-01 00:00:00.000002022,1970-01
NextRoll,11726.0,3.0,2022-07-08,Marketing Tech,San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Armis Security,25.0,4.0,2022-12-08,Cybersecurity,San Francisco,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Foxtrot,26.0,4.0,2022-09-23,"food and beverage, e-commerce",Chicago,Chicago Business,Private,,1970-01-01 00:00:00.000002022,1970-01
Headspace Health,50.0,4.0,2022-12-14,"telehealth, wellness",Los Angeles,Bloomberg,Private,,1970-01-01 00:00:00.000002022,1970-01
RealSelf,11.0,5.0,2022-07-21,Beauty tech,Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
New Relic,110.0,5.0,2022-08-18,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,,1970-01-01 00:00:00.000002022,1970-01
Abra,12.0,5.0,2022-06-30,Crypto,Mountain View,The Block,Private,,1970-01-01 00:00:00.000002022,1970-01
Clarify Health,15.0,5.0,2022-07-22,Health Care,San Francisco,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Argo AI,150.0,5.0,2022-07-07,Transportation,Pittsburgh,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Snyk,220.0,5.0,2022-10-24,Cybersecurity,Boston,Globes,Private,,1970-01-01 00:00:00.000002022,1970-01
JOKR,50.0,5.0,2022-06-16,"Food delivery, ecommerce",New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Project44,63.0,5.0,2022-07-15,Logistics,Chicago,FreightWaves,Private,,1970-01-01 00:00:00.000002022,1970-01
Reef,750.0,5.0,2022-05-06,"Food delivery, ecommerce",Miami,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Outreach,16541.0,5.0,2022-08-02,Sales Tech,Seattle,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Boosted Commerce,13428.0,5.0,2022-07-25,E-commerce,Los Angeles,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Forward,356.0,5.0,2022-07-11,Health Care,San Francisco,Fierce Healthcare,Private,,1970-01-01 00:00:00.000002022,1970-01
CoinDCX,100.0,6.0,2023-01-11,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private,,1970-01-01 00:00:00.000002023,1970-01
Food52,20.0,6.0,2022-04-08,"Media, E-commerce",New York,Digiday,Private,,1970-01-01 00:00:00.000002022,1970-01
Motive,237.0,6.0,2022-12-07,"enterprise software, productivity",San Francisco,Motive,Private,,1970-01-01 00:00:00.000002022,1970-01
Canoo,58.0,6.0,2022-07-01,Transportation,"Torrance, California",Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
